Dataset,FeatureScenario,k,Silhouette,DaviesBouldin,CalinskiHarabasz,GapStatistic,ClusterConfig,CompressionTool,StandardSize(B),StandardRatio,DecomposedSize(B)_ColOrder,DecomposedRatio_ColOrder,DecomposedSize(B)_RowOrder,DecomposedRatio_RowOrder
tpcds_store_f32,All_Features,2,0.7077718615861707,0.28600096309132267,24.118078811569042,0.0673720019230048,"(2,3)|(1,4)",fastlz,248296103,1.1136540149403795,257463379,1.0740010990067834,239559575,1.154268002019957
tpcds_store_f32,All_Features,3,0.34633222110385176,0.1364072430899803,16.49839801735099,0.08127178582105904,"(2,3)|(1)|(4)",fastlz,248296103,1.1136540149403795,238095099,1.1613676768709968,239560473,1.1542636752098916
tpcds_store_f32,All_Features,4,-1.0,-1.0,-1.0,-1.0,(1)|(2)|(3)|(4),fastlz,248296103,1.1136540149403795,239560492,1.1542635836630357,239560492,1.1542635836630357
hst_wfc3_uvis_f32,Entropy,2,0.7461443879264001,0.0034148777159564232,38111.86078198561,3.5909719953383687,"(1,2,3)|(4)",fastlz,67706772,1.6087720147107294,60326760,1.8055794808141528,60400082,1.8033876179174724
hst_wfc3_uvis_f32,Entropy,3,0.4976795220689728,0.001552904453618974,589873072.0644331,8.077346622043024,"(1,2)|(3)|(4)",fastlz,67706772,1.6087720147107294,60364119,1.8044620182396764,60399973,1.8033908723767145
hst_wfc3_uvis_f32,Entropy,4,-1.0,-1.0,-1.0,-1.0,(1)|(2)|(3)|(4),fastlz,67706772,1.6087720147107294,60399878,1.8033937088415972,60399878,1.8033937088415972
hst_wfc3_uvis_f32,Entropy_Mean,2,0.7463296418873566,0.003251685176665715,42033.417665608365,3.80892380316551,"(1,2,3)|(4)",fastlz,67706772,1.6087720147107294,60326760,1.8055794808141528,60400082,1.8033876179174724
hst_wfc3_uvis_f32,Entropy_Mean,3,0.4978907628808503,0.0014112836872711627,787395786.9194733,7.412392241554916,"(1,2)|(3)|(4)",fastlz,67706772,1.6087720147107294,60364119,1.8044620182396764,60399973,1.8033908723767145
hst_wfc3_uvis_f32,Entropy_Mean,4,-1.0,-1.0,-1.0,-1.0,(1)|(2)|(3)|(4),fastlz,67706772,1.6087720147107294,60399878,1.8033937088415972,60399878,1.8033937088415972
hst_wfc3_uvis_f32,Entropy_Std,2,0.7464010763096256,0.003186997684735436,43756.778275436336,3.191720026621998,"(1,2,3)|(4)",fastlz,67706772,1.6087720147107294,60326760,1.8055794808141528,60400082,1.8033876179174724
hst_wfc3_uvis_f32,Entropy_Std,3,0.4974236654450651,0.001723688796357398,549406669.0012752,7.765968394000248,"(1,2)|(3)|(4)",fastlz,67706772,1.6087720147107294,60364119,1.8044620182396764,60399973,1.8033908723767145
hst_wfc3_uvis_f32,Entropy_Std,4,-1.0,-1.0,-1.0,-1.0,(1)|(2)|(3)|(4),fastlz,67706772,1.6087720147107294,60399878,1.8033937088415972,60399878,1.8033937088415972
hst_wfc3_uvis_f32,Entropy_Max,2,0.7462754021559446,0.003296325757226049,40901.99046874218,3.6916211116700124,"(1,2,3)|(4)",fastlz,67706772,1.6087720147107294,60326760,1.8055794808141528,60400082,1.8033876179174724
hst_wfc3_uvis_f32,Entropy_Max,3,0.4968667027540509,0.0020965717886650705,347218214.3462109,7.595874801175892,"(1,2)|(3)|(4)",fastlz,67706772,1.6087720147107294,60364119,1.8044620182396764,60399973,1.8033908723767145
hst_wfc3_uvis_f32,Entropy_Max,4,-1.0,-1.0,-1.0,-1.0,(1)|(2)|(3)|(4),fastlz,67706772,1.6087720147107294,60399878,1.8033937088415972,60399878,1.8033937088415972
hst_wfc3_uvis_f32,Entropy_Min,2,-1.0,-1.0,-1.0,-1.0,"(1,2,3,4)",fastlz,67706772,1.6087720147107294,67706772,1.6087720147107294,60400328,1.803380273034279
hst_wfc3_uvis_f32,Entropy_Min,3,-1.0,-1.0,-1.0,-1.0,"(1,2,3,4)",fastlz,67706772,1.6087720147107294,67706772,1.6087720147107294,60400328,1.803380273034279
hst_wfc3_uvis_f32,Entropy_Min,4,-1.0,-1.0,-1.0,-1.0,(1)|(2)|(3)|(4),fastlz,67706772,1.6087720147107294,60399878,1.8033937088415972,60399878,1.8033937088415972
hst_wfc3_uvis_f32,Frequency,2,0.7442968317379707,0.005024416728963263,17602.766897201323,2.9090212965429227,"(1,2,3)|(4)",fastlz,67706772,1.6087720147107294,60326760,1.8055794808141528,60400082,1.8033876179174724
hst_wfc3_uvis_f32,Frequency,3,0.4929232142080173,0.004744186780429483,29301214.4328358,5.799214852533314,"(1,2)|(3)|(4)",fastlz,67706772,1.6087720147107294,60364119,1.8044620182396764,60399973,1.8033908723767145
